id;user_id;assigned_to;subject;message;status;priority;category;created_at;updated_at;telegram_user_chat_id;telegram_thread_id;escalated;escalated_at;escalated_by
50d0ddbd-1bdc-466b-9be5-384907f7a01f;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;;Support Request;"assistant: Hi! I'm the YUNIX Support Assistant. How can I help you today?

You can ask me about:
• Account & Login issues
• Course access problems
• Certificates
• Payment inquiries
• Technical bugs

user: Hi

assistant: I apologize, but I couldn't process that request. Would you like to speak with a support agent?";closed;normal;general;2026-01-11 05:41:42.874394+00;2026-01-15 08:07:17.80734+00;;;false;;
bca469e1-183b-4f74-97c0-ef1687fbf88d;18500679-9563-4266-bbd5-a14d1306147a;;HELLO;HOW ARE YOU;closed;normal;general;2025-12-16 18:36:40.60744+00;2025-12-16 18:37:50.183506+00;;;false;;
f9c000cd-4993-433b-8236-851530baf191;;;[Telegram] Other - YNX-35799;wanna contact;closed;normal;other;2025-12-20 06:50:00.428794+00;2025-12-20 07:12:25.4966+00;6540671391;YNX-35799;false;;
362db132-7f76-4f04-b379-d25e2bfe65fa;18500679-9563-4266-bbd5-a14d1306147a;;HELLO;HI;closed;normal;general;2025-12-16 18:52:51.646692+00;2025-12-17 02:43:33.686252+00;;;false;;
13c39a7e-dea0-4318-96a7-13de5692eb8f;;;[Telegram] Payment Issues - YNX-26002;[Photo attached];closed;normal;payment_issues;2025-12-19 16:23:55.492134+00;2025-12-20 07:12:48.41869+00;6540671391;YNX-26002;false;;
8694bb5f-bd50-4a65-bc5f-13aab30628ab;46e358c7-53f0-4be3-858a-a7063f0703f0;;test 1 2 3;test 1 2 3 kesera d negeregn;closed;normal;general;2025-12-17 08:33:53.717626+00;2025-12-17 08:41:12.157993+00;;;false;;
01318572-961b-4733-aee5-46751c462baf;18500679-9563-4266-bbd5-a14d1306147a;;hello;problem with payment submissin;closed;normal;general;2025-12-18 17:43:28.176962+00;2025-12-18 17:45:48.335192+00;;;false;;
76593923-9d5b-4108-bc74-a85f1c9a8249;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;;hello;hi;closed;normal;general;2025-12-17 08:32:05.539668+00;2025-12-18 17:46:17.878463+00;;;false;;
88081675-f7d7-4aab-85a1-989e45fd89b9;18500679-9563-4266-bbd5-a14d1306147a;;Support Request;"assistant: Hi! I'm the YUNIX Support Assistant. How can I help you today?

You can ask me about:
• Account & Login issues
• Course access problems
• Certificates
• Payment inquiries
• Technical bugs

user: hi

assistant: I apologize, but I couldn't process that request. Would you like to speak with a support agent?";closed;normal;general;2026-04-14 04:27:05.173678+00;2026-04-14 04:29:08.033097+00;;;false;;
f873c4a0-7b34-4f4e-bdb9-e7b0afc2acf0;0a0c8b07-dfb8-4ad1-a62f-f2cf50cb03b6;;Course Access - From AI Chat;"i can't access the courses
yeah
it just doesn't open
yeah i see error message
it says i can't access the course please bring the live chat";closed;normal;courses;2025-12-19 06:29:05.532723+00;2025-12-19 06:33:05.685971+00;;;false;;
3e8179b5-425a-4754-830b-e724fdcb7729;18500679-9563-4266-bbd5-a14d1306147a;;PAYMENT REJECTED;I want my payment to be reviewed properly;closed;normal;general;2025-12-19 05:08:23.743215+00;2025-12-19 06:34:27.416715+00;;;false;;
fb5df90b-6f51-4185-85dc-0dbdc2105fc2;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;;Billing & Payments - Support Request;"assistant: Hi! I'm the YUNIX Support Assistant. I see you have a question about **Billing & Payments**. How can I help you today?

user: i want a  refund

assistant: I apologize, but I couldn't process that request. Would you like to speak with a support agent?";closed;normal;billing;2025-12-25 04:16:21.907458+00;2025-12-25 19:27:04.606311+00;;;false;;
320b7d9d-a2f2-45dc-9cad-21b1dcda2519;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;;Support Request;"assistant: Hi! I'm the YUNIX Support Assistant. How can I help you today?

You can ask me about:
• Account & Login issues
• Course access problems
• Certificates
• Payment inquiries
• Technical bugs

user: How do I get my certificate?

assistant: I apologize, but I couldn't process that request. Would you like to speak with a support agent?";closed;normal;general;2025-12-19 12:29:58.966989+00;2025-12-25 19:27:18.633367+00;;;false;;
902a4264-9306-4062-b45e-3365cb5f833a;;;[Telegram] Course Access - YNX-79182;hei;closed;normal;course_access;2025-12-19 16:05:32.876282+00;2025-12-19 16:11:05.216376+00;6540671391;YNX-79182;false;;
da806f1b-1bbe-403d-a838-df4d5611c39c;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;;hi;hi;closed;normal;general;2025-12-19 11:52:13.213672+00;2025-12-25 19:27:30.214659+00;;;false;;
17f9a2de-2ba5-4675-9c31-fb7fb979c90b;;;[Telegram] Other - YNX-52821;hi;closed;normal;other;2025-12-19 15:56:17.239781+00;2025-12-25 19:27:40.038081+00;6540671391;YNX-52821;false;;